query_id,predicted_id,correct,match_rank,matching_similarity,top1_similarity,best_nonmatch_similarity,margin_vs_best_nonmatch
0000,0000,True,1,1.000000238418579,1.000000238418579,0.9768967628479004,0.02310347557067871
0001,0001,True,1,0.9999998807907104,0.9999998807907104,0.9768967628479004,0.02310311794281006
0002,0002,True,1,0.9999997615814209,0.9999997615814209,0.9806385040283203,0.019361257553100586
0003,0003,True,1,0.9999994039535522,0.9999994039535522,0.9824248552322388,0.017574548721313477
0004,0004,True,1,1.0,1.0,0.9824248552322388,0.01757514476776123
0005,0005,True,1,1.0,1.0,0.9878654479980469,0.012134552001953125
0006,0006,True,1,1.000000238418579,1.000000238418579,0.9878654479980469,0.012134790420532227
0007,0007,True,1,1.0000003576278687,1.0000003576278687,0.9878780841827393,0.012122273445129395
0008,0008,True,1,0.9999996423721313,0.9999996423721313,0.9932308197021484,0.00676882266998291
0009,0009,True,1,1.0000001192092896,1.0000001192092896,0.9932308197021484,0.006769299507141113
0010,0010,True,1,1.0,1.0,0.9900385141372681,0.009961485862731934
0011,0011,True,1,0.9999998807907104,0.9999998807907104,0.9873237609863281,0.012676119804382324
0012,0012,True,1,0.9999997019767761,0.9999997019767761,0.9836828708648682,0.01631683111190796
0013,0013,True,1,1.000000238418579,1.000000238418579,0.9903671741485596,0.009633064270019531
0014,0014,True,1,1.000000238418579,1.000000238418579,0.9903671741485596,0.009633064270019531
0015,0015,True,1,1.0,1.0,0.9871018528938293,0.012898147106170654
