bundle_id,query_id,predicted_id,correct,match_rank,matching_similarity,top1_similarity,best_nonmatch_similarity,margin_vs_best_nonmatch
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk00_smoke_r1,0000,0001,False,3,0.9891276359558105,0.9906374216079712,0.9906374216079712,-0.0015097856521606445
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk00_smoke_r1,0001,0001,True,1,0.9906836748123169,0.9906836748123169,0.9900733232498169,0.0006103515625
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk00_smoke_r1,0002,0002,True,1,0.9976460933685303,0.9976460933685303,0.9868576526641846,0.010788440704345703
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk00_smoke_r1,0003,0003,True,1,0.9934467077255249,0.9934467077255249,0.9884142279624939,0.005032479763031006
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk01_smoke_r1,0000,0002,False,3,0.9842039942741394,0.9937588572502136,0.9937588572502136,-0.009554862976074219
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk01_smoke_r1,0001,0002,False,2,0.9923187494277954,0.9935976266860962,0.9935976266860962,-0.0012788772583007812
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk01_smoke_r1,0002,0003,False,2,0.9856411218643188,0.9974665641784668,0.9974665641784668,-0.01182544231414795
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk01_smoke_r1,0003,0002,False,4,0.9765853881835938,0.9946995973587036,0.9946995973587036,-0.018114209175109863
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk02_smoke_r1,0000,0002,False,3,0.9931608438491821,0.9964214563369751,0.9964214563369751,-0.0032606124877929688
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk02_smoke_r1,0001,0002,False,2,0.9961674809455872,0.9964848160743713,0.9964848160743713,-0.0003173351287841797
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk02_smoke_r1,0002,0001,False,3,0.994838535785675,0.9975189566612244,0.9975189566612244,-0.0026804208755493164
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk02_smoke_r1,0003,0003,True,1,0.9987540245056152,0.9987540245056152,0.9929820895195007,0.005771934986114502
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk03_smoke_r1,0000,0001,False,3,0.9899507761001587,0.9965680241584778,0.9965680241584778,-0.006617248058319092
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk03_smoke_r1,0001,0001,True,1,0.9965741038322449,0.9965741038322449,0.9956525564193726,0.0009215474128723145
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk03_smoke_r1,0002,0003,False,2,0.9910445213317871,0.9996153116226196,0.9996153116226196,-0.00857079029083252
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk03_smoke_r1,0003,0001,False,4,0.9807900190353394,0.9963816404342651,0.9963816404342651,-0.015591621398925781
