bundle_id,query_id,predicted_anchor_id,hub_cluster_weight_mass,anchor_0000,anchor_0001,anchor_0002,anchor_0003
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk00_smoke_r1,0000,0000,0,0.4567125141620636,0.4300871789455414,1.704361966403667e-05,0.11318321526050568
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk00_smoke_r1,0001,0001,0,0.40051910281181335,0.4369824230670929,5.381108712754212e-05,0.16244469583034515
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk00_smoke_r1,0002,0002,0,5.71151979877893e-11,5.403259090153156e-11,1.0,2.595936780472104e-18
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk00_smoke_r1,0003,0003,0,4.568405653770924e-09,4.700090983078553e-09,5.2041388559631585e-11,1.0
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk01_smoke_r1,0000,0000,0,0.5119830369949341,0.45987269282341003,0.017633479088544846,0.010510831139981747
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk01_smoke_r1,0001,0000,0,0.5117853283882141,0.44003939628601074,0.040447864681482315,0.007727344520390034
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk01_smoke_r1,0002,0003,0,1.9495938971270517e-16,1.7383360714968467e-16,4.721969791181819e-17,1.0
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk01_smoke_r1,0003,0002,0,0.0006582126952707767,0.0009558529127389193,0.9983859062194824,4.1398502362993434e-16
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk02_smoke_r1,0000,0003,0,0.0015121832257136703,0.0016506913816556334,0.032559577375650406,0.9642775058746338
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk02_smoke_r1,0001,0002,0,0.04587238281965256,0.04782139137387276,0.9020180106163025,0.004288194235414267
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk02_smoke_r1,0002,0000,0,0.5342817902565002,0.46538642048835754,0.00033179245656356215,1.07270751187479e-15
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk02_smoke_r1,0003,0003,0,1.1968605360263007e-13,1.2074445176341042e-13,4.55203583160646e-13,1.0
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk03_smoke_r1,0000,0002,0,0.00728587107732892,0.006291112396866083,0.9864215850830078,1.4107092738413485e-06
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk03_smoke_r1,0001,0002,0,0.009083150885999203,0.0072882818058133125,0.9836268424987793,1.587846554684802e-06
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk03_smoke_r1,0002,0003,0,2.8298462678549956e-22,2.8440990280372943e-22,1.1776747112224317e-11,1.0
shared_gating_ego4d16f_teacher_packet_ego4d_small_bridge_16f_chunk03_smoke_r1,0003,0001,0,0.41049477458000183,0.5895051956176758,6.727739707464164e-16,3.4319767554659257e-15
