query_id,predicted_id,correct,match_rank,matching_similarity,top1_similarity,best_nonmatch_similarity,margin_vs_best_nonmatch
0000,0000,True,1,1.000000238418579,1.000000238418579,0.9768742918968201,0.023125946521759033
0001,0001,True,1,0.9999997615814209,0.9999997615814209,0.9768742918968201,0.02312546968460083
0002,0002,True,1,1.0,1.0,0.9806554317474365,0.019344568252563477
0003,0003,True,1,1.0000001192092896,1.0000001192092896,0.9824314117431641,0.01756870746612549
0004,0004,True,1,0.9999999403953552,0.9999999403953552,0.9824314117431641,0.017568528652191162
0005,0005,True,1,1.0,1.0,0.9878380298614502,0.012161970138549805
0006,0006,True,1,0.9999998807907104,0.9999998807907104,0.9878380298614502,0.012161850929260254
0007,0007,True,1,1.0000003576278687,1.0000003576278687,0.9878625869750977,0.012137770652770996
0008,0008,True,1,0.9999997615814209,0.9999997615814209,0.9932069778442383,0.006792783737182617
0009,0009,True,1,1.000000238418579,1.000000238418579,0.9932069778442383,0.00679326057434082
0010,0010,True,1,0.9999998807907104,0.9999998807907104,0.9900487661361694,0.009951114654541016
0011,0011,True,1,1.0000001192092896,1.0000001192092896,0.9872797131538391,0.01272040605545044
0012,0012,True,1,1.0,1.0,0.9837113618850708,0.0162886381149292
0013,0013,True,1,0.9999995827674866,0.9999995827674866,0.9904095530509949,0.0095900297164917
0014,0014,True,1,0.9999997615814209,0.9999997615814209,0.9904095530509949,0.009590208530426025
0015,0015,True,1,0.9999998807907104,0.9999998807907104,0.9871107339859009,0.01288914680480957
